city,Median Household Income
Abington,90873
Acton,137910
Acushnet,72125
Adams,49191
Agawam,67219
Alford,106406
Amesbury,80721
Amherst,51878
Andover,148125
Aquinnah,87000
Arlington,107085
Ashburnham,97561
Ashby,101357
Ashfield,70956
Ashland,121406
Athol,54028
Attleboro,74255
Auburn,83014
Avon,69868
Ayer,84917
Barnstable,68919
Barre,68139
Becket,74659
Bedford,129726
Belchertown,93300
Bellingham,99569
Belmont,120208
Berkley,94516
Berlin,104063
Bernardston,64940
Beverly,79483
Billerica,103129
Blackstone,86513
Blandford,75250
Bolton,155093
Boston,65883
Bourne,74668
Boxborough,108207
Boxford,174340
Boylston,98520
Braintree,94945
Brewster,73765
Bridgewater,92289
Brimfield,84471
Brockton,55140
Brookfield,68125
Brookline,113515
Buckland,53716
Burlington,105443
Cambridge,95404
Canton,105371
Carlisle,171625
Carver,66406
Charlemont,57159
Charlton,97805
Chatham,77878
Chelmsford,109955
Chelsea,53280
Cheshire,64979
Chester,73000
Chesterfield,74010
Chicopee,49434
Chilmark,106000
Clarksburg,64330
Clinton,66094
Cohasset,132204
Colrain,56149
Concord,141293
Conway,97188
Cummington,56964
Dalton,59122
Danvers,84842
Dartmouth,81641
Dedham,96992
Deerfield,76250
Dennis,59805
Dighton,93897
Douglas,95567
Dover,224784
Dracut,88555
Dudley,67117
Dunstable,131250
Duxbury,128333
East,86922
East,84444
East,88442
Eastham,68161
Easthampton,59604
Easton,109719
Edgartown,64810
Egremont,68125
Erving,62750
Essex,113469
Everett,60482
Fairhaven,65763
Fall,41585
Falmouth,73201
Fitchburg,55277
Florida,65417
Foxborough,98374
Framingham,79136
Franklin,115355
Freetown,86469
Gardner,50239
Georgetown,128885
Gill,67083
Gloucester,65377
Goshen,80982
Gosnold,126250
Grafton,102737
Granby,95987
Granville,82273
Great,56622
Greenfield,48653
Groton,126883
Groveland,97109
Hadley,64276
Halifax,92111
Hamilton,133333
Hampden,85943
Hancock,64583
Hanover,120000
Hanson,98537
Hardwick,58924
Harvard,148625
Harwich,75352
Hatfield,64619
Haverhill,67579
Hawley,59107
Heath,63393
Hingham,133596
Hinsdale,65820
Holbrook,70364
Holden,105000
Holland,81680
Holliston,125625
Holyoke,40656
Hopedale,107550
Hopkinton,166156
Hubbardston,95530
Hudson,87806
Hull,85573
Huntington,59881
Ipswich,90557
Kingston,106654
Lakeville,106775
Lancaster,103071
Lanesborough,76818
Lawrence,41583
Lee,71369
Leicester,82229
Lenox,72411
Leominster,58205
Leverett,91500
Lexington,172750
